,titles,dates,origin,section,ID,exclusion_reason
188,"U.S. informs Canada tariffs will be imposed Tuesday:   Across-the-board tariffs of 25% will be on most Canadian goods starting Tuesday, with 10% tariffs on energy, a source s ays",2025-02-01, The Globe and Mail (Online); Toronto, National,3162239201,Federal/US tariff imposition
189,"What is a tariff, how do they work and what could Trump’s mean for Canada?:   As the U.S. President says he will impose tariffs on Feb. 1, what to know so far about the potential trade war brewing",2025-02-01, The Globe and Mail (Online); Toronto, International,3162143529,Explainer on tariffs and the US-Canada trade war
190,Businesses long to break down trade barriers:   Buying Canadian proves more difficult thanks to interprovincial rules and protectionism,2025-02-01," The Globe and Mail; Toronto, Ont.", Report on Business,3162069957,Internal-trade-barriers series (interprovincial trade)
191,U.S. alcohol producers brace for sales bans if Ottawa retaliates against levies,2025-02-01," The Globe and Mail; Toronto, Ont.", Report on Business,3162069955,US alcohol producers bracing for federal retaliation
192,Around the globe:   Nine bottles from international wineries to enjoy this month,2025-02-01," The Globe and Mail; Toronto, Ont.", Pursuits,3162069390,Wine column
193,A Carney leadership would produce a political rarity: A PM who is not an MP,2025-02-01," The Globe and Mail; Toronto, Ont.", News,3162068809,Federal Liberal leadership race (Carney as non-MP PM)
194,We need CanLit right now – and CanLit needs us,2025-02-01," The Globe and Mail; Toronto, Ont.", Opinion,3162068807,Opinion on Canadian literature and publishing
196,"U.S. tariffs to take effect on Canada, Mexico:   Foreign Affairs Minister says Ottawa will be ready to retaliate on 25-per-cent levies",2025-02-01," The Globe and Mail; Toronto, Ont.", News,3162068568,Federal/US tariff imposition (Foreign Affairs Minister on retaliation)
197,WHEN I GROW UP,2025-02-01," The Globe and Mail; Toronto, Ont.", Letters to the Editor,3162067321,Letter on Canadian constitutional history
199,A Carney Liberal leadership win would produce a political rarity: A PM who is not an MP:   The most recent instance of such a feat was when John Turner became Liberal prime minister in 1984,2025-01-31, The Globe and Mail (Online); Toronto, Politics,3161969912,Federal Liberal leadership race (Carney as non-MP PM)
200,Trump threats are inspiring Canada to tackle trade war from within:   One difficulty in buying Canadian is that interprovincial trade barriers persist,2025-01-31, The Globe and Mail (Online); Toronto, Business,3161969911,Internal-trade-barriers series (interprovincial trade)
201,"Politics Insider: The tariffs are coming, the capital gains tax increase is deferred:   PM says Canada’s response to U.S. tariffs will be ‘forceful but reasonable’",2025-01-31, The Globe and Mail (On line); Toronto, Politics,3161952688,"Federal (PM on tariff response, capital-gains deferral)"
202,U.S. alcohol producers brace for sales bans in Canada if Trump launches tariffs:   Canadian politicians say pulling American-made alcoholic beverages from store shelves will be one way to retaliate should U.S. follow through on tariff plan,2025-01-31, The Globe and Mail (Online); Toronto, Business,3161891247,US alcohol producers bracing for federal retaliation
203,"Good job, Ottawa, in pausing the capital-gains tax hike. But what took you so long?:   Even Liberal Party leadership candidates oppose their government’s capital-gains tax hike",2025-01-31, The Globe and Mail (Online); Toronto, Business,3161846333,Federal tax policy (capital-gains tax hike deferral)
204,Market movers: Stocks seeing action on Friday - and why:   A survey of North American equities heading in both directions,2025-01-31, The Globe and Mail (Online); Toronto, Business,3161810502,Markets column (stock movers)
205,"We need CanLit right now – and CanLit needs us:   The demise of New Star Books may be a canary in the coal mine for Canadian culture, at a time we need to champion it, amid threats from the U.S.",2025-01-31, The Globe and Mail (Online); Toronto, Other,3161736939,Opinion on Canadian literature and publishing
206,A banquet of heritage architecture in Kingston:   A tour by the city’s ‘storyteller-in-chief’ offers a window into Canada’s past,2025-01-31," The Globe and Mail; Toronto, Ont.", Real Estate,3161635916,Architecture/heritage travel feature (Kingston)
207,FROM THE OTHER SIDE,2025-01-31," The Globe and Mail; Toronto, Ont.", Letters to the Editor,3161631989,Letter on Canada-US tariffs and the border
209,"Politics Insider: Singh says he’ll defeat government when House sits again:   The NDP Leader says he’ll vote against the minority Liberal government, joining the Bloc and Conservatives",2025-01-30, The Globe and Mail (Online); Toronto, Politics,3161522298,Federal politics (NDP Leader Singh to vote against Liberal government)
212,GM has plans to deal with Trump’s 25% tariffs: CEO:   The automaker says it’s been studying ‘multiple scenarios’ to minimize impact on its operations in Canada and Mexico,2025-01-30," The Globe and Mail; Toronto, Ont.", Report on Business,3161311671,Corporate (GM CEO on handling Trump tariffs)
213,Canada’s playbook is futile against Trump 2.0:   Our leaders must understand the new parameters at play in Washington to respond effectively,2025-01-29," The Globe and Mail; Toronto, Ont.", Report on Business,3161632000,National trade-strategy op-ed (former Quebec premier Couillard)
214,"Politics Insider: The path to tariff peace, as Trump’s commerce nominee sees it:   Also, Bank of Canada cuts interest rates with one eye on economic fallout from tariffs",2025-01-29, The Globe and Mail (Online); Toronto, Politics,3160942537,Federal (US commerce nominee on tariffs; Bank of Canada rate cut)
215,"General Motors CEO says automaker has plans to deal with tariffs, has been in talks with Trump administration:   Mary Barra provided no details on how the automaker will respond to the tariffs, nor how they will affect GM, which has manufacturing facilities in Canada and Mexico as well as the U.S.",2025-01-29, The Globe and Mail (Online); Toronto, Business,3160919372,Corporate (GM CEO on handling Trump tariffs)
217,"Is your household prepared for a possible job loss?:   Since U.S. President Donald Trump started making his tariff threats, economists have been scrambling to estimate the impact on Canada’s economy. The results are dire",2025-01-29, The Globe and Mail (Online); Toronto, Business,3160821100,Personal finance (preparing a household for job loss)
218,Nine wines to brighten the dark days of February:   These picks have mouth-coating flavours and robust characters that really satisfy,2025-01-29, The Globe and Mail (Online); Toronto, lifeMain,3160811079,Wine column
220,"Business Brief: Fending off a ‘big, big, bad, bad, not-good shock’:   In today’s edition: Key lending-rate decisions, tracking the threat of tariffs, and reports from Meta and Microsoft",2025-01-29, The Globe and Mail (Online); Toronto, Business,3160792143,Business digest (Bank of Canada rate decision)
221,"Morning Update: What we know from the foreign-interference report:   Also in today’s edition: Doug Ford triggers an early Ontario election, why Canada’s weak loonie could drive up food costs, and two women from Gaza question whether they should return",2025-01-29, The Globe and Mail (Online); Toronto, National,3160791945,News digest led by the federal foreign-interference report
222,Why Canada’s old playbook for Trump 1.0 won’t save us this time:   There were successes of Canada’s trade-talk approach during Donald Trump’s first term – but that approach likely won’t work today,2025-01-29, The Globe and Mail (Online); Toronto, Business,3160717382,National trade-strategy op-ed (former Quebec premier Couillard)
223,Canadian firms plan to shift more business to the U.S.:   Results from KPMG survey come as companies scramble to mitigate potential tariffs,2025-01-29," The Globe and Mail; Toronto, Ont.", Report on Business,3160678324,Corporate survey (Canadian firms shifting business to the US)
229,"Politics Insider: What we learned from the foreign-interference report:   The Hogue inquiry finds some parliamentarians showed ‘problematic’ conduct, but did not commit treason",2025-01-28, The Globe and Mail (Online); Toronto, Politics,3160581989,Federal foreign-interference inquiry (Hogue report)
230,Opposition parties divided on keeping Liberals in power to pass emergency relief to counter Trump tariffs:   Passing the relief measures would require co-operation from the opposition parties to delay intention to bring down the minority Liberal government,2025-01-28, The Globe and Mail (Online); Toronto, Politics,3160511962,Federal politics (opposition parties and Liberal tariff-relief bill)
